"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"","","","","","","","","","overarching",1,"0.06067961165048544%","condition",1,"0.1937984496124031%","informal",1,"0.06510416666666667%","seem",1,"0.10964912280701755%","deposit",2,"0.04884004884004884%","similarity",3,"0.011573181081706659%","criteria",2,"0.049663299663299666%"
"","","","","","","","","","goal",1,"0.06067961165048544%","accuracy",1,"0.1937984496124031%","caregiving",1,"0.06510416666666667%","bidirectionally",1,"0.10964912280701755%","in18f-florbetapir",2,"0.04884004884004884%","machine",3,"0.011573181081706659%","biomarkers",2,"0.025252525252525256%"
"","","","","","","","","","use",1,"0.06067961165048544%","either",1,"0.1937984496124031%","caregiver",1,"0.06510416666666667%","linked",1,"0.10964912280701755%","taiwan",2,"0.04884004884004884%","translation",3,"0.011573181081706659%","biomarker",2,"0.10878010878010877%"
"","","","","","","","","","commonly",1,"0.06067961165048544%","optical",1,"0.1937984496124031%","examined",1,"0.06510416666666667%","forming",1,"0.10964912280701755%","smell",2,"0.04884004884004884%","interactions",3,"0.011573181081706659%","neurodegenerative",2,"0.10878010878010877%"
"","","","","","","","","","tracer",1,"0.06067961165048544%","tracking",1,"0.1937984496124031%","toward",1,"0.06510416666666667%","vicious",1,"0.10964912280701755%","identification",2,"0.04884004884004884%","problematic",3,"0.011573181081706659%","neurodegeneration",2,"0.10878010878010877%"
"","","","","","","","","","binds",1,"0.06067961165048544%","technology",1,"0.1937984496124031%","efforts",1,"0.06510416666666667%","cycle",1,"0.10964912280701755%","thirty",2,"0.04884004884004884%","ratings",3,"0.011573181081706659%","change",2,"0.02904662387421008%"
"","","","","","","","","","biological",1,"0.06067961165048544%","co-registers",1,"0.1937984496124031%","build",1,"0.06510416666666667%","long",1,"0.10964912280701755%","comprehensive",2,"0.04884004884004884%","2022",3,"0.011573181081706659%","targeted",2,"0.04663986806843949%"
"","","","","","","","","","pet-only",1,"0.06067961165048544%","patient",1,"0.1937984496124031%","resilience",1,"0.06510416666666667%","run",1,"0.10964912280701755%","upper",2,"0.04884004884004884%","28",3,"0.011573181081706659%","known",2,"0.024602310530454245%"
"","","","","","","","","","compared",1,"0.06067961165048544%","neuroimaging",1,"0.1937984496124031%","novel",1,"0.06510416666666667%","might",1,"0.10964912280701755%","airway",2,"0.04884004884004884%","determine",2,"0.08001918932731172%","occur",2,"0.056679126062385975%"
"","","","","","","","","","analyzed",1,"0.06067961165048544%","real",1,"0.1937984496124031%","population-based",1,"0.06510416666666667%","useful",1,"0.10964912280701755%","bariatric",2,"0.04884004884004884%","tolerability",2,"0.15232292460015232%","work",2,"0.02904662387421008%"
"","","","","","","","","","investigators'",1,"0.06067961165048544%","space",1,"0.1937984496124031%","examine",1,"0.06510416666666667%","delay",1,"0.10964912280701755%","repeat",2,"0.04884004884004884%","ath-1017-ad-0201",2,"0.15232292460015232%","together",2,"0.10878010878010877%"
"","","","","","","","","","enables",1,"0.06067961165048544%","8",1,"0.1937984496124031%","provisions",1,"0.06510416666666667%","onset",1,"0.10964912280701755%","postoperative",2,"0.04884004884004884%","ath-1017-ad-0202",2,"0.15232292460015232%","interaction",2,"0.02904662387421008%"
"","","","","","","","","","examine",1,"0.06067961165048544%","total",1,"0.1937984496124031%","differ",1,"0.06510416666666667%","functions",1,"0.10964912280701755%","assessment",2,"0.04884004884004884%","open-label",2,"0.250986637125251%","extended",2,"0.025252525252525256%"
"","","","","","","","","","relates",1,"0.06067961165048544%","sessions",1,"0.1937984496124031%","ethnicity",1,"0.06510416666666667%","acoustic",1,"0.10964912280701755%","aforementioned",2,"0.04884004884004884%","olex",2,"0.15232292460015232%","example",2,"0.025252525252525256%"
"","","","","","","","","","aging",1,"0.06067961165048544%","focused",1,"0.1937984496124031%","rigorous",1,"0.06510416666666667%","stimulation",1,"0.10964912280701755%","year",2,"0.04884004884004884%","weeks",2,"0.14135051053997186%","very",2,"0.025252525252525256%"
"","","","","","","","","","symptomatic",1,"0.06067961165048544%","evaluated",1,"0.1937984496124031%","mixed",1,"0.06510416666666667%","approach",1,"0.10964912280701755%","later",2,"0.04884004884004884%","additional",2,"0.10373245761300696%","accurate",2,"0.025252525252525256%"
"","","","","","","","","","asymptomatic",1,"0.06067961165048544%","final",1,"0.1937984496124031%","identify",1,"0.06510416666666667%","algorithm",1,"0.10964912280701755%","obstructive",2,"0.040569895221058014%","done",2,"0.04991944973566484%","individual",2,"0.024602310530454245%"
"","","","","","","","","","older",1,"0.06067961165048544%","same",1,"0.1937984496124031%","gap",1,"0.06510416666666667%","used",1,"0.10964912280701755%","showed",2,"0.04884004884004884%","looking",2,"0.06916174580845239%","images",2,"0.025252525252525256%"
"","","","","","","","","","adults",1,"0.06067961165048544%","entry",1,"0.1937984496124031%","between",1,"0.06510416666666667%","detects",1,"0.10964912280701755%","relationship",2,"0.04884004884004884%","learn",2,"0.07363271802136008%","help",2,"0.055179454115624325%"
"","","","","","","","","","assist",1,"0.06067961165048544%","safety",1,"0.1937984496124031%","available",1,"0.06510416666666667%","electroencephalogram",1,"0.10964912280701755%","our",2,"0.04884004884004884%","effects",2,"0.08269175933846593%","cognition",2,"0.02904662387421008%"
"","","","","","","","","","ability",1,"0.06067961165048544%","any",1,"0.1937984496124031%","way",1,"0.06510416666666667%","programmed",1,"0.10964912280701755%","were",2,"0.040569895221058014%","tracer",2,"0.0910459782190006%","especially",2,"0.02904662387421008%"
"","","","","","","","","","versus",1,"0.06067961165048544%","adverse",1,"0.1937984496124031%","positioned",1,"0.06510416666666667%","short",1,"0.10964912280701755%","incidence",2,"0.04884004884004884%","treatments",2,"0.0910459782190006%","96-week",2,"0.08810572687224669%"
"","","","","","","","","","level",1,"0.06067961165048544%","events",1,"0.1937984496124031%","propose",1,"0.06510416666666667%","ms",1,"0.10964912280701755%","ratio",2,"0.04884004884004884%","possible",2,"0.061954920419808816%","i",2,"0.08810572687224669%"
"","","","","","","","","","mild",1,"0.06067961165048544%","monitored",1,"0.1937984496124031%","ethnic-specific",1,"0.06510416666666667%","rhythm",1,"0.10964912280701755%","rate",2,"0.040569895221058014%","larger",2,"0.04991944973566484%","long-term",2,"0.08108990047316038%"
"","","","","","","","","","converting",1,"0.06067961165048544%","closely",1,"0.1937984496124031%","testable",1,"0.06510416666666667%","procedure",1,"0.10964912280701755%","possible",2,"0.06816455635353275%","role",2,"0.04991944973566484%","adas-cog11",2,"0.08810572687224669%"
"","","","","","","","","","based",1,"0.06067961165048544%","","","","promote",1,"0.06510416666666667%","boost",1,"0.10964912280701755%","contributing",2,"0.04884004884004884%","biomarker",2,"0.061954920419808816%","npi",2,"0.08810572687224669%"
"","","","","","","","","","moreover",1,"0.06067961165048544%","","","","family",1,"0.06510416666666667%","well",1,"0.10964912280701755%","olfactory",2,"0.04884004884004884%","unimpaired",2,"0.061954920419808816%","ae",2,"0.08810572687224669%"
"","","","","","","","","","capitalizing",1,"0.06067961165048544%","","","","care",1,"0.06510416666666667%","mainly",1,"0.10964912280701755%","progressive",2,"0.06816455635353275%","pathology",2,"0.06916174580845239%","labs",2,"0.08810572687224669%"
"","","","","","","","","","across",1,"0.06067961165048544%","","","","therefore",1,"0.06510416666666667%","young",1,"0.10964912280701755%","purposes",2,"0.04847004847004847%","field",2,"0.04991944973566484%","ecgs",2,"0.08810572687224669%"
"","","","","","","","","","two",1,"0.06067961165048544%","","","","lead",1,"0.06510416666666667%","applied",1,"0.10964912280701755%","establish",2,"0.04847004847004847%","indicate",2,"0.08828907133991878%","gds",2,"0.08810572687224669%"
"","","","","","","","","","able",1,"0.06067961165048544%","","","","improved",1,"0.06510416666666667%","night",1,"0.10964912280701755%","system",2,"0.040569895221058014%","thinking",2,"0.1303780964797914%","consent",2,"0.08108990047316038%"
"","","","","","","","","","understand",1,"0.06067961165048544%","","","","well-being",1,"0.06510416666666667%","here",1,"0.10964912280701755%","feedback",2,"0.04381114328758308%","center",2,"0.08704219509304255%","enroll",2,"0.08108990047316038%"
"","","","","","","","","","proposal",1,"0.06067961165048544%","","","","autonomy",1,"0.06510416666666667%","investigators",1,"0.10964912280701755%","perioperative",2,"0.04884004884004884%","report",2,"0.06904677526713124%","24",2,"0.08810572687224669%"
"","","","","","","","","","ultimately",1,"0.06067961165048544%","","","","investigative",1,"0.06510416666666667%","apply",1,"0.10964912280701755%","improves",2,"0.047762694821518355%","either",2,"0.08704219509304255%","clinic",2,"0.08810572687224669%"
"","","","","","","","","","may",1,"0.06067961165048544%","","","","team",1,"0.06510416666666667%","via",1,"0.10964912280701755%","consequently",2,"0.04884004884004884%","after",2,"0.06904677526713124%","performed",2,"0.08810572687224669%"
"","","","","","","","","","help",1,"0.06067961165048544%","","","","conducted",1,"0.06510416666666667%","multiple",1,"0.10964912280701755%","diagnosis",2,"0.040569895221058014%","informed",2,"0.08108224595127522%","48",2,"0.08810572687224669%"
"","","","","","","","","","predict",1,"0.06067961165048544%","","","","experts",1,"0.06510416666666667%","consecutive",1,"0.10964912280701755%","nh",2,"0.0481000481000481%","eligible",2,"0.1966783216783217%","return",2,"0.08108990047316038%"
"","","","","","","","","","solely",1,"0.06067961165048544%","","","","culture",1,"0.06510416666666667%","nights",1,"0.10964912280701755%","dementias",2,"0.03715274941690036%","visit",2,"0.1966783216783217%","evaluated",2,"0.08108990047316038%"
"","","","","","","","","","order",1,"0.06067961165048544%","","","","epidemiologic",1,"0.06510416666666667%","assess",1,"0.10964912280701755%","often",2,"0.03715274941690036%","things",2,"0.08996851102114259%","event",2,"0.08108990047316038%"
"","","","","","","","","","provide",1,"0.06067961165048544%","","","","continues",1,"0.06510416666666667%","3-night",1,"0.10964912280701755%","hospitalization",2,"0.0481000481000481%","influence",2,"0.08996851102114259%","columbia",2,"0.08108990047316038%"
"","","","","","","","","","comparison",1,"0.06067961165048544%","","","","its",1,"0.06510416666666667%","home-dwelling",1,"0.0700280112044818%","planning",2,"0.0481000481000481%","think",2,"0.08996851102114259%","suicide",2,"0.08108990047316038%"
"","","","","","","","","","individual",1,"0.06067961165048544%","","","","tremendous",1,"0.06510416666666667%","dementias",1,"0.0700280112044818%","key",2,"0.043441142917582706%","diabetes",2,"0.08996851102114259%","severity",2,"0.08108990047316038%"
"","","","","","","","","","group",1,"0.06067961165048544%","","","","growth",1,"0.06510416666666667%","most",1,"0.0700280112044818%","informed",2,"0.0481000481000481%","depression",2,"0.08996851102114259%","rating",2,"0.08108990047316038%"
"","","","","","","","","","basis",1,"0.06067961165048544%","","","","vitally",1,"0.06510416666666667%","rapidly",1,"0.0700280112044818%","known",2,"0.0481000481000481%","biology",2,"0.08996851102114259%","mood",2,"0.03284072249589491%"
"","","","","","","","","","goals",1,"0.06067961165048544%","","","","better",1,"0.06510416666666667%","growing",1,"0.0700280112044818%","honored",2,"0.0481000481000481%","seek",2,"0.04884198253780685%","receive",2,"0.05043396669012432%"
"","","","","","","","","","follows",1,"0.06067961165048544%","","","","understand",1,"0.06510416666666667%","populations",1,"0.0700280112044818%","systematic",2,"0.0481000481000481%","scans",2,"0.08996851102114259%","reminiscence-targeted",2,"0.03284072249589491%"
"","","","","","","","","","cross-sectional",1,"0.06067961165048544%","","","","address",1,"0.06510416666666667%","united",1,"0.0700280112044818%","facilitation",2,"0.0481000481000481%","create",2,"0.08996851102114259%","per",2,"0.02839640915213907%"
"","","","","","","","","","nasal",1,"0.06067961165048544%","","","","common",1,"0.06510416666666667%","states",1,"0.0700280112044818%","delivered",2,"0.03715274941690036%","detailed",2,"0.08996851102114259%","anxiety",2,"0.03284072249589491%"
"","","","","","","","","","biopsy",1,"0.06067961165048544%","","","","families",1,"0.06510416666666667%","among",1,"0.0700280112044818%","existing",2,"0.0481000481000481%","pictures",2,"0.08996851102114259%","8-week",2,"0.03284072249589491%"
"","","","","","","","","","dna",1,"0.06067961165048544%","","","","communities",1,"0.06510416666666667%","evaluate",1,"0.0700280112044818%","end",2,"0.0481000481000481%","future",2,"0.04884198253780685%","fmri",2,"0.03284072249589491%"
"","","","","","","","","","compare",1,"0.06067961165048544%","","","","purpose",1,"0.08650519031141868%","versus",1,"0.0700280112044818%","many",2,"0.03715274941690036%","could",2,"0.06808427861059439%","these",2,"0.05897355273730916%"
"","","","","","","","","","elevated",1,"0.06067961165048544%","","","","evaluate",1,"0.08650519031141868%","usual",1,"0.0700280112044818%","negatively",2,"0.06779455598353236%","loss",2,"0.0725552508235021%","approaches",2,"0.02839640915213907%"
"","","","","","","","","","health",1,"0.06067961165048544%","","","","autologous",1,"0.08650519031141868%","self-efficacy",1,"0.0700280112044818%","about",2,"0.04739269445151798%","diverse",2,"0.0725552508235021%","utilize",2,"0.03284072249589491%"
"","","","","","","","","","history",1,"0.06067961165048544%","","","","means",1,"0.08650519031141868%","caregiver-centered",1,"0.0700280112044818%","documented",2,"0.0481000481000481%","collect",2,"0.03899322081140263%","non-pharmacological",2,"0.05897355273730916%"
"","","","","","","","","","informant",1,"0.06067961165048544%","","","","occurs",1,"0.08650519031141868%","adaptation",1,"0.0700280112044818%","currently",2,"0.06779455598353236%","severe",2,"0.052523234341416154%","promote",2,"0.0844475721323012%"
"","","","","","","","","","report",1,"0.06067961165048544%","","","","socialization",1,"0.08650519031141868%","communityrx",1,"0.0700280112044818%","approaches",2,"0.0481000481000481%","evaluated",2,"0.019750924738615082%","musical",2,"0.03284072249589491%"
"","","","","","","","","","subjective",1,"0.06067961165048544%","","","","issues",1,"0.08650519031141868%","crx",1,"0.0700280112044818%","ethical",2,"0.04019989485105765%","obtained",2,"0.019750924738615082%","e",2,"0.02839640915213907%"
"","","","","","","","","","difficulties",1,"0.06067961165048544%","","","","adult",1,"0.08650519031141868%","information-based",1,"0.0700280112044818%","widely",2,"0.03715274941690036%","years",2,"0.03178639542275906%","g",2,"0.02839640915213907%"
