"2005","Num studies:1","","2006","Num studies:1","","2008","Num studies:4","","2009","Num studies:3","","2010","Num studies:1","","2011","Num studies:1","","2012","Num studies:2","","2013","Num studies:3","","2014","Num studies:2","","2015","Num studies:3","","2016","Num studies:4","","2017","Num studies:4","","2018","Num studies:4","","2019","Num studies:9","","2020","Num studies:7","","2021","Num studies:3","","2022","Num studies:3","","2023","Num studies:1","","2025","Num studies:1","","No Start Date","Num studies:2",""
"old",1,"0.18796992481203006%","","","","demonstrate",2,"0.11848341232227488%","techniques",1,"0.10822510822510822%","","","","","","","","","","pre-admission",1,"0.12626262626262627%","","","","common",1,"0.09746588693957114%","whichever",2,"0.06596306068601583%","those",1,"0.1358695652173913%","some",2,"0.09067612852355608%","affect",3,"0.32404494140299356%","tau",2,"0.10131712259371835%","anesthetic",1,"0.08525149190110827%","health",1,"0.17094017094017092%","","","","","","","other",1,"0.32894736842105265%"
"age",1,"0.18796992481203006%","","","","reflected",2,"0.11848341232227488%","fill",1,"0.10822510822510822%","","","","","","","","","","testing",1,"0.12626262626262627%","","","","complex",1,"0.09746588693957114%","comes",2,"0.06596306068601583%","prohibited",1,"0.1358695652173913%","montpellier",2,"0.09363295880149813%","diet",3,"0.15015015015015015%","controls",2,"0.10131712259371835%","induced",1,"0.08525149190110827%","well-being",1,"0.17094017094017092%","","","","","","","measurements",1,"0.32894736842105265%"
"amongst",1,"0.18796992481203006%","","","","circulating",2,"0.11848341232227488%","gap",1,"0.10822510822510822%","","","","","","","","","","area",1,"0.12626262626262627%","","","","tasks",1,"0.09746588693957114%","administration",2,"0.14926060011044978%","protocol",1,"0.1358695652173913%","about",2,"0.09363295880149813%","hypertension",3,"0.08931192676775716%","radio",2,"0.10131712259371835%","fluid",1,"0.08525149190110827%","there",1,"0.17094017094017092%","","","","","","","activities",1,"0.32894736842105265%"
"medical",1,"0.18796992481203006%","","","","different",2,"0.11848341232227488%","two",1,"0.10822510822510822%","","","","","","","","","","pata",1,"0.12626262626262627%","","","","they",1,"0.09746588693957114%","adverse",2,"0.06596306068601583%","potent",1,"0.15625%","management",2,"0.09067612852355608%","scd",3,"0.15015015015015015%","ligands",2,"0.10131712259371835%","convection",1,"0.08525149190110827%","positive",1,"0.17094017094017092%","","","","","","","living",1,"0.32894736842105265%"
"effectiveness",1,"0.18796992481203006%","","","","parameters",2,"0.11848341232227488%","visits",1,"0.10822510822510822%","","","","","","","","","","evaluation",1,"0.12626262626262627%","","","","were",1,"0.09746588693957114%","effects",2,"0.16739013249354553%","selective",1,"0.15625%","applied",2,"0.09363295880149813%","more",3,"0.15015015015015015%","most",2,"0.14223365287195075%","assessed",1,"0.08525149190110827%","role",1,"0.17094017094017092%","","","","","","","quality",1,"0.32894736842105265%"
"important",1,"0.18796992481203006%","","","","differential",2,"0.11848341232227488%","testing",1,"0.10822510822510822%","","","","","","","","","","medical",1,"0.12626262626262627%","","","","able",1,"0.09746588693957114%","visits",2,"0.16739013249354553%","inhibitor",1,"0.15625%","before",2,"0.09363295880149813%","favorable",3,"0.15015015015015015%","first",2,"0.12467780630056012%","free-water",1,"0.08525149190110827%","interactions",1,"0.17094017094017092%","","","","","","","life",1,"0.32894736842105265%"
"one",1,"0.18796992481203006%","","","","fragmentation",2,"0.11848341232227488%","neurological",1,"0.10822510822510822%","","","","","","","","","","optimization",1,"0.12626262626262627%","","","","perform",1,"0.09746588693957114%","tolerability",2,"0.3534943508558285%","lipoprotein",1,"0.15625%","then",2,"0.09067612852355608%","changes",3,"0.11973103845895366%","12",2,"0.10131712259371835%","freewater",1,"0.08525149190110827%","who",1,"0.17094017094017092%","","","","","","","frequency",1,"0.32894736842105265%"
"possible",1,"0.18796992481203006%","","","","dna",2,"0.11848341232227488%","examination",1,"0.10822510822510822%","","","","","","","","","","contact",1,"0.12626262626262627%","","","","first",1,"0.09746588693957114%","if",2,"0.14926060011044978%","phospholipase",1,"0.15625%","benefit",2,"0.09067612852355608%","such",3,"0.05889281507656066%","sex",2,"0.10131712259371835%","separates",1,"0.08525149190110827%","indeed",1,"0.17094017094017092%","","","","","","","adverse",1,"0.32894736842105265%"
"options",1,"0.18796992481203006%","","","","alterations",2,"0.11848341232227488%","scan",1,"0.10822510822510822%","","","","","","","","","","however",1,"0.12626262626262627%","","","","six",1,"0.09746588693957114%","aes",2,"0.06596306068601583%","a2",1,"0.15625%","non-medicinal",2,"0.09363295880149813%","nitric",3,"0.05889281507656066%","10",2,"0.10131712259371835%","out",1,"0.08525149190110827%","promotes",1,"0.17094017094017092%","","","","","","","events",1,"0.32894736842105265%"
"preserve",1,"0.18796992481203006%","","","","relationship",2,"0.11848341232227488%","each",1,"0.10822510822510822%","","","","","","","","","","only",1,"0.12626262626262627%","","","","months",1,"0.09746588693957114%","daily",2,"0.06596306068601583%","lp-pla2",1,"0.15625%","many",2,"0.09067612852355608%","oxide",3,"0.05889281507656066%","scanned",2,"0.10131712259371835%","contributions",1,"0.08525149190110827%","meetings",1,"0.17094017094017092%","","","","","","","changes",1,"0.32894736842105265%"
"apply",1,"0.18796992481203006%","","","","stress",2,"0.11848341232227488%","take",1,"0.10822510822510822%","","","","","","","","","","proceed",1,"0.12626262626262627%","","","","investigators",1,"0.09746588693957114%","down-titrated",2,"0.06596306068601583%","was",1,"0.15625%","hypnoanalgesia",2,"0.09363295880149813%","vascular",3,"0.05889281507656066%","twice",2,"0.10131712259371835%","free",1,"0.08525149190110827%","caregives",1,"0.17094017094017092%","","","","","","","laboratory",1,"0.32894736842105265%"
"if",1,"0.18796992481203006%","","","","events",2,"0.11848341232227488%","approximately",1,"0.10822510822510822%","","","","","","","","","","permission",1,"0.12626262626262627%","","","","develop",1,"0.09746588693957114%","up",2,"0.3534943508558285%","previously",1,"0.15625%","our",2,"0.09067612852355608%","dysfunction",3,"0.05889281507656066%","no",2,"0.11772764245044735%","vicinity",1,"0.08525149190110827%","decreases",1,"0.17094017094017092%","","","","","","","test",1,"0.32894736842105265%"
"can",1,"0.18796992481203006%","","","","expect",2,"0.11848341232227488%","1½",1,"0.10822510822510822%","","","","","","","","","","him",1,"0.12626262626262627%","","","","series",1,"0.09746588693957114%","end",2,"0.06596306068601583%","development",1,"0.15625%","technic",2,"0.09363295880149813%","arteries",3,"0.05889281507656066%","scans",2,"0.10131712259371835%","tissue",1,"0.08525149190110827%","stress",1,"0.17094017094017092%","","","","","","","results",1,"0.32894736842105265%"
"improve",1,"0.18796992481203006%","","","","protein",2,"0.11848341232227488%","hours",1,"0.10822510822510822%","","","","","","","","","","herself",1,"0.12626262626262627%","","","","4",1,"0.09746588693957114%","testing",2,"0.16739013249354553%","atherosclerosis",1,"0.15625%","following",2,"0.09067612852355608%","ros",3,"0.05889281507656066%","2",2,"0.10131712259371835%","evaluate",1,"0.08525149190110827%","level",1,"0.17094017094017092%","","","","","","","stratified",1,"0.32894736842105265%"
"expertise",1,"0.18796992481203006%","","","","designed",2,"0.11848341232227488%","wish",1,"0.10822510822510822%","","","","","","","","","","per",1,"0.12626262626262627%","","","","dyads",1,"0.09746588693957114%","repeat",2,"0.3534943508558285%","currently",1,"0.15625%","more",2,"0.09067612852355608%","dilation",3,"0.05889281507656066%","who",2,"0.14223365287195075%","abnormalities",1,"0.08525149190110827%","ulrich",1,"0.17094017094017092%","","","","","","","outcomes",1,"0.32894736842105265%"
"would",1,"0.18796992481203006%","","","","characterize",2,"0.11848341232227488%","do",1,"0.10822510822510822%","","","","","","","","","","human",1,"0.12626262626262627%","","","","member",1,"0.09746588693957114%","tests",2,"0.14926060011044978%","being",1,"0.15625%","than",2,"0.09067612852355608%","informal",3,"0.19157088122605362%","high",2,"0.10131712259371835%","space",1,"0.08525149190110827%","named",1,"0.17094017094017092%","","","","","","","separately",1,"0.32894736842105265%"
"open",1,"0.18796992481203006%","","","","involved",2,"0.11848341232227488%","so",1,"0.10822510822510822%","","","","","","","","","","committees-approved",1,"0.12626262626262627%","","","","managing",1,"0.09746588693957114%","whether",2,"0.06596306068601583%","developed",1,"0.15625%","objective",2,"0.09067612852355608%","caregivers",3,"0.19157088122605362%","order",2,"0.12467780630056012%","such",1,"0.08525149190110827%","based",1,"0.17094017094017092%","","","","","","","apolipoprotein",1,"0.32894736842105265%"
"new",1,"0.18796992481203006%","","","","healthy",2,"0.11848341232227488%","all",1,"0.10822510822510822%","","","","","","","","","","do",1,"0.12626262626262627%","","","","variety",1,"0.09746588693957114%","should",2,"0.06596306068601583%","single-center",1,"0.15625%","evaluated",2,"0.09067612852355608%","arm",3,"0.19157088122605362%","one",2,"0.11772764245044735%","neuroinflammation",1,"0.08525149190110827%","nature",1,"0.17094017094017092%","","","","","","","e4",1,"0.32894736842105265%"
"vistas",1,"0.18796992481203006%","","","","we",2,"0.11848341232227488%","procedures",1,"0.10822510822510822%","","","","","","","","","","not",1,"0.12626262626262627%","","","","provoking",1,"0.09746588693957114%","objective",2,"0.6410256410256411%","open-label",1,"0.15625%","algoplus",2,"0.09363295880149813%","being",2,"0.03495660885693784%","personalized",2,"0.18315018315018317%","contribute",1,"0.08525149190110827%","regional",1,"0.17094017094017092%","","","","","","","genotype",1,"0.32894736842105265%"
"projects",1,"0.18796992481203006%","","","","similar",2,"0.16517390955096795%","completed",1,"0.10822510822510822%","","","","","","","","","","capacity",1,"0.12626262626262627%","","","","scenarios",1,"0.09746588693957114%","administered",2,"0.4367918902802624%","two-part",1,"0.15625%","score",2,"0.09363295880149813%","evaluate",2,"0.03065134099616858%","symptoms",2,"0.16559433657879255%","long-term",1,"0.08525149190110827%","culture",1,"0.17094017094017092%","","","","","","","two",1,"0.32894736842105265%"
"taken",1,"0.18796992481203006%","","","","if",2,"0.211864406779661%","single",1,"0.10822510822510822%","","","","","","","","","","clinical-decision",1,"0.12626262626262627%","","","","associated",1,"0.09746588693957114%","mild",2,"0.4367918902802624%","two",1,"0.15625%","controlled",2,"0.09067612852355608%","administered",2,"0.03065134099616858%","mild",2,"0.15864417272867978%","degeneration",1,"0.08525149190110827%","break",1,"0.17094017094017092%","","","","","","","outcome",1,"0.32894736842105265%"
"place",1,"0.18796992481203006%","","","","motivation",2,"0.211864406779661%","followed",1,"0.10822510822510822%","","","","","","","","","","making",1,"0.12626262626262627%","","","","e",1,"0.09746588693957114%","versus",2,"0.6410256410256411%","parts",1,"0.15625%","randomization",2,"0.09363295880149813%","moderate",2,"0.03065134099616858%","moderate",2,"0.16559433657879255%","method",1,"0.08525149190110827%","artificial",1,"0.17094017094017092%","","","","","","","measures",1,"0.32894736842105265%"
"not",1,"0.18796992481203006%","","","","taken",2,"0.211864406779661%","annually",1,"0.10822510822510822%","","","","","","","","","","but",1,"0.12626262626262627%","","","","g",1,"0.09746588693957114%","how",2,"0.26881720430107525%","run",1,"0.15625%","cutaneous",2,"0.09363295880149813%","reactive",2,"0.03495660885693784%","chronic",2,"0.18315018315018317%","useful",1,"0.08525149190110827%","framework",1,"0.17094017094017092%","","","","","","","-",1,"0.32894736842105265%"
"proved",1,"0.18796992481203006%","","","","has",2,"0.211864406779661%","currently",1,"0.10822510822510822%","","","","","","","","","","express",1,"0.12626262626262627%","","","","trouble",1,"0.09746588693957114%","sugars",2,"0.26881720430107525%","independently",1,"0.15625%","anesthesia",2,"0.09363295880149813%","species",2,"0.03495660885693784%","conditions",2,"0.18315018315018317%","assessing",1,"0.08525149190110827%","care",1,"0.17094017094017092%","","","","","","","adas-cog",1,"0.32894736842105265%"
"exercising",1,"0.18796992481203006%","","","","every",2,"0.211864406779661%","enrolling",1,"0.10822510822510822%","","","","","","","","","","willingness",1,"0.12626262626262627%","","","","reconciling",1,"0.09746588693957114%","completed",2,"0.25068767191797947%","dosed",1,"0.15625%","measure",2,"0.09067612852355608%","amyloid",2,"0.03065134099616858%","patients'",2,"0.18315018315018317%","lymph",1,"0.08525149190110827%","often",1,"0.17094017094017092%","","","","","","","cibic",1,"0.32894736842105265%"
"mainly",1,"0.18796992481203006%","","","","2",2,"0.211864406779661%","well",1,"0.10822510822510822%","","","","","","","","","","surrogate",1,"0.12626262626262627%","","","","checkbook",1,"0.09746588693957114%","randomized",2,"0.25068767191797947%","not",1,"0.15625%","after",2,"0.09067612852355608%","beta",2,"0.03065134099616858%","positive",2,"0.15864417272867978%","systems",1,"0.08525149190110827%","perceived",1,"0.17094017094017092%","","","","","","","secondary",1,"0.32894736842105265%"
"because",1,"0.18796992481203006%","","","","visits",2,"0.211864406779661%","loss",1,"0.10822510822510822%","","","","","","","","","","healthcare",1,"0.12626262626262627%","","","","second",1,"0.09746588693957114%","b",2,"0.26881720430107525%","permitted",1,"0.15625%","assessments",2,"0.09067612852355608%","neural",2,"0.03495660885693784%","investigators",2,"0.18315018315018317%","ability",1,"0.08525149190110827%","as",1,"0.17094017094017092%","","","","","","","include",1,"0.32894736842105265%"
"methodological",1,"0.18796992481203006%","","","","during",2,"0.211864406779661%","does",1,"0.10822510822510822%","","","","","","","","","","proxy",1,"0.12626262626262627%","","","","administer",1,"0.09746588693957114%","esters",2,"0.26881720430107525%","participate",1,"0.15625%","other",2,"0.08771929824561403%","cells",2,"0.03495660885693784%","which",2,"0.16559433657879255%","remove",1,"0.08525149190110827%","stressful",1,"0.17094017094017092%","","","","","","","these",1,"0.32894736842105265%"
"restraints",1,"0.18796992481203006%","","","","assess",2,"0.211864406779661%","significantly",1,"0.10822510822510822%","","","","","","","","","","family",1,"0.12626262626262627%","","","","four",1,"0.09746588693957114%","other",2,"0.25068767191797947%","other",1,"0.15625%","dementia",2,"0.08771929824561403%","studies",2,"0.05543798497862982%","disorders",2,"0.1480384900074019%","debris",1,"0.08525149190110827%","around",1,"0.17094017094017092%","","","","","","","same",1,"0.32894736842105265%"
"necessary",1,"0.18796992481203006%","","","","12-week",1,"0.1497005988023952%","affect",1,"0.10822510822510822%","","","","","","","","","","member",1,"0.12626262626262627%","","","","home",1,"0.09746588693957114%","that",2,"0.26881720430107525%","investigate",1,"0.15625%","every",2,"0.08771929824561403%","stage",2,"0.03065134099616858%","lead",2,"0.1480384900074019%","present",1,"0.08525149190110827%","experience",1,"0.17094017094017092%","","","","","","","instruments",1,"0.32894736842105265%"
"undertake",1,"0.18796992481203006%","","","","multicenter",1,"0.1497005988023952%","daily",1,"0.10822510822510822%","","","","","","","","","","co-signature",1,"0.12626262626262627%","","","","visits",1,"0.09746588693957114%","two",2,"0.26881720430107525%","pharmacokinetic",1,"0.15625%","getting",2,"0.08771929824561403%","it",2,"0.03495660885693784%","evolution",2,"0.1480384900074019%","designed",1,"0.08525149190110827%","could",1,"0.17094017094017092%","","","","","","","","",""
