"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"","","","","","","","","","billion",2,"0.06514657980456026%","florbetapir",1,"0.05737234652897303%","","","","agreed",1,"0.02247191011235955%","","","","care",1,"0.06640106241699867%","therapeutic",2,"0.01676727028839705%","layer",4,"0.034316921920591346%","month",4,"0.046883845132560165%","throughout",6,"0.03314616923271301%","design",10,"0.031093922438438146%","objective",12,"0.06535072792799573%","protocols",20,"0.013411332118745624%","60",15,"0.030719244337605436%","","",""
"","","","","","","","","","additional",2,"0.16590662323561345%","any",1,"0.05737234652897303%","","","","upon",1,"0.02247191011235955%","","","","showing",1,"0.06640106241699867%","00",2,"0.01676727028839705%","period",4,"0.1646961708473132%","parameters",4,"0.055318973264613325%","tested",6,"0.03013508450651906%","approximately",10,"0.043231723409706733%","screening",12,"0.07969572510930781%","major",19,"0.034524366088126396%","biological",15,"0.046837119578999595%","","",""
"","","","","","","","","","second",2,"0.06514657980456026%","wish",1,"0.05737234652897303%","","","","governing",1,"0.02247191011235955%","","","","troubles",1,"0.06640106241699867%","do",2,"0.024186416433705477%","therefore",4,"0.02452856746344078%","especially",4,"0.049790447209339395%","trials",6,"0.05569802865216896%","population",10,"0.03798633444061236%","asked",12,"0.03577125593038241%","occur",19,"0.03798849223384835%","rate",15,"0.04465842307172567%","","",""
"","","","","","","","","","delay",2,"0.06514657980456026%","decide",1,"0.05737234652897303%","","","","regulatory",1,"0.02247191011235955%","","","","especially",1,"0.06640106241699867%","much",2,"0.01676727028839705%","some",4,"0.08354618257796763%","level",4,"0.04732023011297338%","markers",6,"0.030795951321271223%","form",10,"0.028619976529825803%","any",12,"0.03075679924387559%","need",19,"0.03281209633979916%","thinking",15,"0.034294104446751024%","","",""
"","","","","","","","","","y",2,"0.06514657980456026%","after",1,"0.05737234652897303%","","","","agency",1,"0.02247191011235955%","","","","complaints",1,"0.06640106241699867%","label",2,"0.01676727028839705%","investigator",4,"0.01757469244288225%","2-week",4,"0.05192107995846314%","main",6,"0.03166105134482916%","purpose",10,"0.07421924708532177%","recruit",12,"0.03693003439934964%","development",19,"0.0474494198463003%","however",15,"0.034655434741714876%","","",""
"","","","","","","","","","o",2,"0.06514657980456026%","testing",1,"0.05737234652897303%","","","","sponsor",1,"0.02247191011235955%","","","","demonstrate",1,"0.06640106241699867%","ages",2,"0.024186416433705477%","number",4,"0.03233001630393973%","major",4,"0.03939337088766121%","compare",6,"0.04988521612032625%","attention",10,"0.05231950116099015%","three",12,"0.03598688845191454%","approach",19,"0.02779926709027937%","implementation",15,"0.02533585831858369%","","",""
"","","","","","","","","","was",2,"0.06514657980456026%","laboratory",1,"0.05737234652897303%","","","","referred",1,"0.02247191011235955%","","","","complaining",1,"0.06640106241699867%","process",2,"0.01676727028839705%","followed",4,"0.04243735060181896%","stimulation",4,"0.05192107995846314%","level",6,"0.023590662253313202%","what",10,"0.040234860544826015%","many",12,"0.03579613651125214%","any",19,"0.025397475734676555%","bpsd",15,"0.015964279842677703%","","",""
"","","","","","","","","","selected",2,"0.06514657980456026%","improvement",1,"0.05737234652897303%","","","","likelihood",1,"0.02247191011235955%","","","","impairments",1,"0.06640106241699867%","immediately",2,"0.01676727028839705%","large",4,"0.08615861978297451%","lifestyle",4,"0.08264916318792075%","inflammation",6,"0.027519066943347294%","8",10,"0.06567414257094095%","assessments",12,"0.05434866906253788%","scan",19,"0.05135402757407624%","vitamin",15,"0.0051569252348979445%","","",""
"","","","","","","","","","order",2,"0.16590662323561345%","amendments",1,"0.05737234652897303%","","","","discovered",1,"0.02247191011235955%","","","","neuropsychologic",1,"0.06640106241699867%","16",2,"0.01676727028839705%","understand",4,"0.1307784516257779%","current",4,"0.046272088012746765%","12",6,"0.05679277590864743%","being",10,"0.04954739218078743%","would",12,"0.030352873093038253%","18",19,"0.03737326855156311%","randomly",14,"0.04029608234317701%","","",""
"","","","","","","","","","five",2,"0.06514657980456026%","clia",1,"0.05737234652897303%","","","","selected",1,"0.02247191011235955%","","","","mini",1,"0.06640106241699867%","least",2,"0.01676727028839705%","diet",4,"0.05830903790087464%","neuronal",4,"0.10485825928649728%","magnetic",6,"0.03588940378797394%","completed",10,"0.03273876104138177%","app",12,"0.04411535387281209%","via",19,"0.044317140516985945%","key",14,"0.032597050263966164%","","",""
"","","","","","","","","","after",2,"0.06514657980456026%","-approved",1,"0.05737234652897303%","","","","profile",1,"0.02247191011235955%","","","","mental",1,"0.06640106241699867%","kitchen",2,"0.01676727028839705%","allow",4,"0.051523072283100435%","pathological",4,"0.07611158312092892%","home",6,"0.06287144254234252%","assessments",10,"0.04701654127439118%","computer",12,"0.07085959894301727%","long-term",19,"0.04575306267638211%","standard",14,"0.0342835187109718%","","",""
"","","","","","","","","","significant",2,"0.06514657980456026%","laboratories",1,"0.05737234652897303%","","","","includes",1,"0.02247191011235955%","","","","examination",1,"0.06640106241699867%","diets",2,"0.024186416433705477%","potentials",4,"0.0594683353304043%","persons",4,"0.05916559272002112%","visits",6,"0.05258038642132671%","practice",10,"0.028893131764360185%","criteria",12,"0.0764553285353262%","mechanisms",19,"0.02639527081168731%","adverse",14,"0.03236662810979541%","","",""
"","","","","","","","","","balance",2,"0.06514657980456026%","i",1,"0.05737234652897303%","","","","pooled",1,"0.02247191011235955%","","","","clock",1,"0.06640106241699867%","repeat",2,"0.024186416433705477%","accuracy",4,"0.03530290046316985%","often",4,"0.01705069294200324%","cn",6,"0.04340277777777778%","participants'",10,"0.02352176730942979%","plan",12,"0.027932948658145614%","address",19,"0.03233632931080292%","body",14,"0.023574801500589524%","","",""
"","","","","","","","","","families",2,"0.26666666666666666%","e",1,"0.05737234652897303%","","","","shared",1,"0.02247191011235955%","","","","grober-buschke",1,"0.06640106241699867%","total",2,"0.024186416433705477%","vivo",4,"0.147553403407646%","disorder",4,"0.01766245006181664%","part",6,"0.03616029676704859%","naming",10,"0.008378226664544183%","pilot",12,"0.05008566469740271%","university",19,"0.02248074996951683%","recruited",14,"0.028096466032370693%","","",""
"","","","","","","","","","ibmpfd",2,"0.26666666666666666%","problem",1,"0.15723270440251572%","","","","subsequently",1,"0.02247191011235955%","","","","fcsr-ir",1,"0.06640106241699867%","punctures",2,"0.01676727028839705%","alone",4,"0.10582010582010581%","syndrome",4,"0.02061552416014468%","neurodegeneration",6,"0.054044803297893275%","approach",9,"0.026596909111994065%","via",12,"0.023225242514641455%","mental",19,"0.040400622155979476%","center",14,"0.04379007872230089%","","",""
"","","","","","","","","","associated",2,"0.26666666666666666%","public",1,"0.15723270440251572%","","","","overall",1,"0.02247191011235955%","","","","executive",1,"0.06640106241699867%","levels",2,"0.01676727028839705%","age",4,"0.13903224237886974%","reduces",4,"0.022956841138659322%","resistance",6,"0.020291625235213214%","several",9,"0.030125076730277332%","connectivity",12,"0.029783025573199808%","conditions",19,"0.03684112940789106%","occur",14,"0.0277537183296061%","","",""
"","","","","","","","","","invited",2,"0.26666666666666666%","health",1,"0.15723270440251572%","","","","ratio",1,"0.02247191011235955%","","","","trail",1,"0.06640106241699867%","pick",2,"0.01676727028839705%","around",4,"0.04067348433705526%","improves",4,"0.028237260857581714%","address",6,"0.02956905659334152%","explore",9,"0.05977850593407121%","our",12,"0.021217781527321084%","social",19,"0.033557401670672705%","significant",14,"0.032774297918414734%","","",""
"","","","","","","","","","travel",2,"0.26666666666666666%","registers",1,"0.15723270440251572%","","","","importantly",1,"0.02247191011235955%","","","","making",1,"0.06640106241699867%","up",2,"0.01676727028839705%","recording",4,"0.07897867472335558%","developed",4,"0.014709375963488595%","exposure",6,"0.026804980365351883%","improving",9,"0.03235045333643977%","detection",12,"0.022484927881639%","speech",19,"0.04760201177048993%","measure",14,"0.048646682499802786%","","",""
"","","","","","","","","","contribute",1,"0.4166666666666667%","records",1,"0.15723270440251572%","","","","subject",1,"0.02247191011235955%","","","","tomography",1,"0.06640106241699867%","well",2,"0.01676727028839705%","non-invasive",4,"0.07142219456413569%","approved",4,"0.020115849623353547%","patterns",6,"0.04090362229827032%","last",9,"0.034548426013872355%","caregiving",12,"0.03630195291827061%","scd",19,"0.03178142016340274%","performed",14,"0.036881425244897535%","","",""
"","","","","","","","","","loss",1,"0.4166666666666667%","medical",1,"0.15723270440251572%","","","","has",1,"0.02247191011235955%","","","","case",1,"0.06640106241699867%","diary",2,"0.01676727028839705%","bna",4,"0.09009009009009009%","community-dwelling",4,"0.018274207181630035%","development",6,"0.041692016754814216%","compare",9,"0.05192146154299815%","recruited",12,"0.03294980047647483%","main",18,"0.0891882218776286%","only",14,"0.03304237963005578%","","",""
"","","","","","","","","","across",1,"0.4166666666666667%","acts",1,"0.15723270440251572%","","","","analyzed",1,"0.02247191011235955%","","","","contraindication",1,"0.06640106241699867%","times",2,"0.024186416433705477%","connectivity",4,"0.05213724362660534%","fewer",4,"0.026021997820009635%","common",6,"0.06025772477757241%","cells",9,"0.058846829898217566%","trained",12,"0.039425154514691016%","informed",18,"0.019387130249402744%","satisfaction",14,"0.03601378883590008%","","",""
"","","","","","","","","","ages",1,"0.4166666666666667%","made",1,"0.15723270440251572%","","","","pre-specified",1,"0.02247191011235955%","","","","realized",1,"0.06640106241699867%","what",2,"0.024186416433705477%","erps",4,"0.09009009009009009%","three",4,"0.020302659921277832%","recent",6,"0.030868288525751856%","significantly",9,"0.02790159374192342%","tbi",12,"0.04583651642475172%","stress",18,"0.027764939439083636%","need",14,"0.022289861395748317%","","",""
"","","","","","","","","","ethnic",1,"0.4166666666666667%","units",1,"0.15723270440251572%","","","","endpoints",1,"0.02247191011235955%","","","","phase",1,"0.06640106241699867%","cerebrospinal",2,"0.024186416433705477%","information",4,"0.03316082039486295%","findings",4,"0.022643976899792476%","additional",6,"0.038584999897572664%","system",9,"0.06948607146575349%","ffc-ac-eit",12,"0.014289116456299118%","residents",18,"0.03201071956177179%","reduced",14,"0.024462834615195033%","","",""
"","","","","","","","","","groups",1,"0.4166666666666667%","france",1,"0.15723270440251572%","","","","same",1,"0.02247191011235955%","","","","usual",1,"0.06640106241699867%","isotope",2,"0.01676727028839705%","processing",4,"0.03316082039486295%","patterns",4,"0.038261401897765536%","physical",6,"0.0823955588684546%","might",9,"0.030764086528951858%","reminder",12,"0.011543456303208119%","recruited",18,"0.03375229963716041%","cohorts",14,"0.03459987059473478%","","",""
"","","","","","","","","","neurological",1,"0.4166666666666667%","2012",1,"0.15723270440251572%","","","","adaptive",1,"0.02247191011235955%","","","","whole",1,"0.06640106241699867%","compared",2,"0.01676727028839705%","brushing",4,"0.0796812749003984%","motor",4,"0.01593289020311539%","its",6,"0.029991400997742987%","aims",9,"0.0644198633014259%","usability",12,"0.011543456303208119%","40",18,"0.025730005245193335%","status",14,"0.024707737516063616%","","",""
"","","","","","","","","","late-onset",1,"0.4166666666666667%","had",1,"0.15723270440251572%","","","","platform",1,"0.02247191011235955%","","","","taken",1,"0.06640106241699867%","across",2,"0.07860835424532213%","dementias",4,"0.13367447706257296%","even",4,"0.01766245006181664%","findings",6,"0.041810371009925844%","specific",9,"0.045710767900001614%","cognitively",11,"0.056055972033727156%","total",18,"0.019706495908996334%","help",14,"0.03456761983038505%","","",""
"","","","","","","","","","dementias",1,"0.4166666666666667%","objective",1,"0.15723270440251572%","","","","engages",1,"0.02247191011235955%","","","","stay",1,"0.06640106241699867%","65",2,"0.01676727028839705%","vessel",4,"0.014184397163120569%","living",4,"0.031012034272783637%","perception",6,"0.020491803278688523%","thus",9,"0.021690437924160824%","treatments",11,"0.04814125969573904%","many",18,"0.03913385182736888%","individual",14,"0.029898765169340747%","","",""
"","","","","","","","","","part",1,"0.031152647975077878%","strengthen",1,"0.15723270440251572%","","","","its",1,"0.02247191011235955%","","","","dedicated",1,"0.06640106241699867%","pathological",2,"0.01676727028839705%","svd",4,"0.014184397163120569%","interviews",4,"0.05831544582620006%","could",6,"0.04519675714339467%","sample",9,"0.020883738141689652%","therapeutic",11,"0.04091569036972976%","technology",18,"0.031812702041134865%","vascular",14,"0.04228992238842803%","","",""
"","","","","","","","","","department",1,"0.031152647975077878%","related",1,"0.15723270440251572%","","","","approach",1,"0.02247191011235955%","","","","issued",1,"0.06640106241699867%","increase",2,"0.024186416433705477%","balance",4,"0.014184397163120569%","where",4,"0.03703026505246199%","before",6,"0.028189740949138748%","scan",9,"0.03380026431936586%","drug",11,"0.03313772401253523%","either",18,"0.04513078508062337%","future",14,"0.02424625340041061%","","",""
"","","","","","","","","","neurology",1,"0.031152647975077878%","disorders",1,"0.15723270440251572%","","","","particularly",1,"0.02247191011235955%","","","","consultation",1,"0.06640106241699867%","loss",2,"0.07860835424532213%","rnfl",4,"0.014184397163120569%","recruitment",4,"0.032235548512410436%","intensity",6,"0.0527918904159957%","process",9,"0.06908605934433498%","methods",11,"0.05431780263094941%","given",18,"0.042480120279639245%","model",14,"0.02440877152587461%","","",""
"","","","","","","","","","conducting",1,"0.031152647975077878%","confusions",1,"0.15723270440251572%","","","","baseline",1,"0.02247191011235955%","","","","principal",1,"0.06640106241699867%","tauopathies",2,"0.01676727028839705%","signature",4,"0.01776455717280895%","any",4,"0.01593289020311539%","randomly",6,"0.034586001097838076%","burden",9,"0.04944925321960884%","method",11,"0.027498449295567873%","objectives",18,"0.04128750819672989%","cortical",14,"0.042202925804639246%","","",""
