"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"","","","any",2,"0.030282726798645444%","","","","","","","pervasive",1,"0.006565126050420168%","200-240",1,"0.027824151363383415%","upon",1,"0.03759398496240601%","dietary",2,"0.03361344537815126%","total",3,"0.03610024838070477%","symptoms",4,"0.02501876407305479%","supporting",2,"0.05302667515093469%","orcastrait",3,"0.01030715316429602%","additionally",1,"0.11049723756906078%"
"","","","effects",2,"0.030282726798645444%","","","","","","","challenging",1,"0.006565126050420168%","account",1,"0.027824151363383415%","increased",1,"0.03759398496240601%","some",2,"0.03361344537815126%","initially",3,"0.034536228318820736%","go",4,"0.02501876407305479%","impairment",2,"0.06592072165842658%","acceptability",3,"0.023211304723909768%","50",1,"0.11049723756906078%"
"","","","parameters",2,"0.03075030750307503%","","","","","","","condition",1,"0.006565126050420168%","potential",1,"0.027824151363383415%","detecting",1,"0.03759398496240601%","subsequent",2,"0.025791448654933675%","risks",3,"0.0249787651961565%","many",4,"0.015964812402654075%","target",2,"0.10582010582010583%","biomarkers",3,"0.019299971361332817%","approximately",1,"0.11049723756906078%"
"","","","detailed",2,"0.0750410248732559%","","","","","","","inexorable",1,"0.006565126050420168%","failed",1,"0.027824151363383415%","specific",1,"0.03759398496240601%","being",2,"0.05420388050508161%","coupled",3,"0.02072649572649573%","available",4,"0.02501876407305479%","engagement",2,"0.10582010582010583%","together",3,"0.01030715316429602%","150",1,"0.11049723756906078%"
"","","","subsequent",2,"0.030282726798645444%","","","","","","","severe",1,"0.006565126050420168%","7-year",1,"0.02491280518186348%","biomarker",1,"0.03759398496240601%","each",2,"0.05420388050508161%","screen",3,"0.0214225335104456%","anonymised",4,"0.02501876407305479%","initial",2,"0.10582010582010583%","reactivity",3,"0.019299971361332817%","episodic",1,"0.01141552511415525%"
"","","","demonstrated",2,"0.0750410248732559%","","","","","","","disability",1,"0.006565126050420168%","compare",1,"0.02491280518186348%","amyloid-beta",1,"0.03759398496240601%","gummy",2,"0.03361344537815126%","aging",3,"0.026550738638650727%","predictors",4,"0.021378588846466477%","proof-of-concept",2,"0.10582010582010583%","relationship",3,"0.01030715316429602%","refers",1,"0.01141552511415525%"
"","","","mild",2,"0.030282726798645444%","","","","","","","death",1,"0.006565126050420168%","trans-cranial",1,"0.02491280518186348%","inform",1,"0.03759398496240601%","packaged",2,"0.03361344537815126%","abc",3,"0.05403151065801669%","accessible",4,"0.032467532467532464%","establish",2,"0.07226738934056007%","out-of-pocket",3,"0.01030715316429602%","conscious",1,"0.01141552511415525%"
"","","","no",2,"0.030282726798645444%","","","","","","","latest",1,"0.006565126050420168%","versus",1,"0.02491280518186348%","diagnoses",1,"0.03759398496240601%","same",2,"0.03361344537815126%","diagnosed",3,"0.037156759987197946%","focus",4,"0.03417630164530673%","common",2,"0.030427506465845123%","implicit",3,"0.01030715316429602%","recalling",1,"0.01141552511415525%"
"","","","found",2,"0.030282726798645444%","","","","","","","pharmacologic",1,"0.006565126050420168%","slowing",1,"0.02491280518186348%","impaired",1,"0.03759398496240601%","order",2,"0.03977410900051338%","incident",3,"0.018376068376068377%","skills",4,"0.021462797817116994%","exhibit",2,"0.030427506465845123%","recipient",3,"0.01047252019838648%","context",1,"0.01141552511415525%"
"","","","oxygen",2,"0.03075030750307503%","","","","","","","yielded",1,"0.006565126050420168%","down",1,"0.02491280518186348%","its",1,"0.03759398496240601%","4",2,"0.05164992826398852%","part",3,"0.023899029407503984%","enhance",4,"0.017827004501273495%","date",2,"0.028224421981296228%","significance",3,"0.01047252019838648%","took",1,"0.01141552511415525%"
"","","","saturation",2,"0.03075030750307503%","","","","","","","best",1,"0.006565126050420168%","related",1,"0.02491280518186348%","expand",1,"0.03759398496240601%","week",2,"0.04898175486410781%","interview",3,"0.01900170067664312%","upon",4,"0.01419121118542999%","olfactory",2,"0.030427506465845123%","providing",3,"0.01594823023394452%","function",1,"0.01141552511415525%"
"","","","concentrations",2,"0.03075030750307503%","","","","","","","very",1,"0.006565126050420168%","disorders",1,"0.02491280518186348%","pre-clinical",1,"0.03759398496240601%","periods",2,"0.025791448654933675%","members'",3,"0.023076923076923075%","decorative",4,"0.01792435920415845%","hypothalamic",2,"0.030427506465845123%","chronic",3,"0.01047252019838648%","impaired",1,"0.01141552511415525%"
"","","","haemoglobin",2,"0.03075030750307503%","","","","","","","modest",1,"0.006565126050420168%","adrd",1,"0.02491280518186348%","therapies",1,"0.03759398496240601%","procedures",2,"0.04898175486410781%","express",3,"0.023076923076923075%","elements",4,"0.01792435920415845%","light",2,"0.028224421981296228%","years",3,"0.052599926177675865%","degenerative",1,"0.01141552511415525%"
"","","","motor",2,"0.10595486389646505%","","","","","","","exists",1,"0.006565126050420168%","diagnosed",1,"0.02491280518186348%","developed",1,"0.03759398496240601%","assessed",2,"0.025791448654933675%","effectiveness",3,"0.0368998273009924%","special",4,"0.01792435920415845%","reproduction",2,"0.030427506465845123%","when",3,"0.01038983668134125%","condition",1,"0.01141552511415525%"
"","","","left",2,"0.03075030750307503%","","","","","","","therefore",1,"0.006565126050420168%","substantial",1,"0.02491280518186348%","examining",1,"0.03759398496240601%","vitamin",2,"0.06968641114982578%","management",3,"0.027163604709763138%","travel",4,"0.01792435920415845%","acts",2,"0.030427506465845123%","participation",3,"0.01047252019838648%","pathological",1,"0.01141552511415525%"
"","","","lateralization",2,"0.03075030750307503%","","","","","","","significantly",1,"0.006565126050420168%","insult",1,"0.02491280518186348%","pertaining",1,"0.03759398496240601%","b3",2,"0.06968641114982578%","gantenerumab",3,"0.10885341074020319%","problem",4,"0.012324637176065759%","gland",2,"0.030427506465845123%","minority",3,"0.01047252019838648%","found",1,"0.01141552511415525%"
"","","","age",2,"0.030282726798645444%","","","","","","","slows",1,"0.006565126050420168%","limits",1,"0.02491280518186348%","progressing",1,"0.03759398496240601%","neurofibrillary",2,"0.04682786521057924%","must",3,"0.05801415299336629%","sr",4,"0.01792435920415845%","act",2,"0.028224421981296228%","delivered",3,"0.026031843258734016%","initially",1,"0.01141552511415525%"
"","","","behavioural",2,"0.03075030750307503%","","","","","","","down",1,"0.006565126050420168%","treatments",1,"0.02491280518186348%","goal",1,"0.03759398496240601%","therapeutic",2,"0.07224036339091887%","performed",3,"0.05249119196193069%","goals",4,"0.012324637176065759%","cerebral",2,"0.028224421981296228%","consultant",3,"0.01030715316429602%","medial",1,"0.01141552511415525%"
"","","","purpose",2,"0.0750410248732559%","","","","","","","alters",1,"0.006565126050420168%","interventions",1,"0.02491280518186348%","diverse",1,"0.03759398496240601%","areas",2,"0.04645760743321719%","double",3,"0.05476733806653739%","alterations",4,"0.062371888726207914%","hippocampus",2,"0.030427506465845123%","session",3,"0.03145353967098594%","temporal",1,"0.01141552511415525%"
"","","","here",2,"0.03075030750307503%","","","","","","","milieu",1,"0.006565126050420168%","urgently",1,"0.02491280518186348%","population",1,"0.03759398496240601%","preclinical",2,"0.07224036339091887%","blind",3,"0.05476733806653739%","scans",4,"0.061312078479460456%","role",2,"0.030427506465845123%","meaningful",3,"0.01038983668134125%","then",1,"0.01141552511415525%"
"","","","presented",2,"0.03075030750307503%","","","","","","","conducted",1,"0.006565126050420168%","needed",1,"0.02491280518186348%","findings",1,"0.03759398496240601%","mouse",2,"0.04682786521057924%","enter",3,"0.04992331367281187%","million",4,"0.035885070823081%","recently",2,"0.030427506465845123%","future",3,"0.01038983668134125%","spread",1,"0.01141552511415525%"
"","","","thinking",2,"0.02981514609421586%","","","","","","","published",1,"0.006565126050420168%","require",1,"0.02491280518186348%","relevant",1,"0.03759398496240601%","model",2,"0.04645760743321719%","go",3,"0.04733693054486428%","factors",4,"0.010458063166701528%","ageing",2,"0.030427506465845123%","assessing",3,"0.019299971361332817%","post-rolandic",1,"0.01141552511415525%"
"","","","daily",2,"0.02981514609421586%","","","","","","","world",1,"0.006565126050420168%","numbers",1,"0.02491280518186348%","future",1,"0.03759398496240601%","develops",2,"0.057447183875093726%","long",3,"0.05620781880766121%","addresses",4,"0.010458063166701528%","neurogenesis",2,"0.030427506465845123%","finally",3,"0.01047252019838648%","examining",1,"0.01141552511415525%"
"","","","activities",2,"0.02981514609421586%","","","","","","","feasibility",1,"0.006565126050420168%","follow-up",1,"0.02491280518186348%","decision-making",1,"0.03759398496240601%","plaques",2,"0.06169605197663147%","mg",3,"0.17453096248624556%","provided",4,"0.04675727078600857%","ts65dn",2,"0.030427506465845123%","beyond",3,"0.023293988240954997%","enhance",1,"0.01141552511415525%"
"","","","people",2,"0.02981514609421586%","","","","","","","randomized",1,"0.006565126050420168%","periods",1,"0.02491280518186348%","practices",1,"0.03759398496240601%","design",2,"0.04382793154077093%","problems",3,"0.022580159566460936%","given",3,"0.12286385690216496%","continuous",2,"0.030427506465845123%","multi-domain",3,"0.10224948875255624%","processes",1,"0.01141552511415525%"
"","","","chronic",2,"0.02981514609421586%","","","","","","","placebo-controlled",1,"0.006565126050420168%","unless",1,"0.02491280518186348%","sites",1,"0.03759398496240601%","go",2,"0.06968641114982578%","provided",3,"0.01960255610714741%","moderate",3,"0.18366479981967299%","develop",2,"0.0761904761904762%","worldwide",3,"0.06676290147961025%","studying",1,"0.01141552511415525%"
"","","","follow",2,"0.02981514609421586%","","","","","","","had",1,"0.006565126050420168%","propose",1,"0.02491280518186348%","approx",1,"0.03759398496240601%","decision",2,"0.06968641114982578%","billion",3,"0.02181293680439021%","characterized",3,"0.02109961415213974%","couples-based",2,"0.0761904761904762%","lifestyle",3,"0.09274843006315941%","recent",1,"0.01141552511415525%"
"","","","up",2,"0.02981514609421586%","","","","","","","three",1,"0.006565126050420168%","three",1,"0.02491280518186348%","370",1,"0.03759398496240601%","p-tau231",2,"0.06968641114982578%","caregivers'",3,"0.03822304119382845%","toxic",3,"0.03536067892503536%","improve",2,"0.05110590684361177%","coping",3,"0.010555203715431708%","discovery",1,"0.01141552511415525%"
"","","","four",2,"0.02981514609421586%","","","","","","","establishing",1,"0.006565126050420168%","prodromal",1,"0.02491280518186348%","total",1,"0.03759398496240601%","includes",2,"0.04382793154077093%","reasons",3,"0.017555804200086317%","mouse",3,"0.03536067892503536%","focus",2,"0.05745257452574526%","problem",3,"0.010555203715431708%","extraordinary",1,"0.01141552511415525%"
"","","","receive",2,"0.10548728319203547%","","","","","","","relationship",1,"0.006565126050420168%","condition",1,"0.02491280518186348%","apoe",1,"0.03759398496240601%","expected",2,"0.05781059188635065%","critical",3,"0.03797678714248943%","uses",3,"0.03109032732476461%","cpap",2,"0.0761904761904762%","solving",3,"0.010555203715431708%","remember",1,"0.01141552511415525%"
"","","","doing",2,"0.02981514609421586%","","","","","","","focal",1,"0.006565126050420168%","progression",1,"0.02491280518186348%","genotyping",1,"0.03759398496240601%","planned",2,"0.06968641114982578%","increased",3,"0.020395320052854295%","30",3,"0.04396192515004397%","present",2,"0.03236800517888083%","skills",3,"0.010555203715431708%","past",1,"0.01141552511415525%"
"","","","how",2,"0.0745734441688263%","","","","","","","regions",1,"0.006565126050420168%","independently",1,"0.02491280518186348%","enrich",1,"0.03759398496240601%","upon",2,"0.04382793154077093%","telephone",3,"0.01960255610714741%","recently",3,"0.0420467446634349%","firm",2,"0.03871467286101432%","necessary",3,"0.010555203715431708%","highly",1,"0.01141552511415525%"
"","","","information",2,"0.02981514609421586%","","","","","","","affected",1,"0.006565126050420168%","identified",1,"0.02491280518186348%","enrollment",1,"0.03759398496240601%","americans",2,"0.031952112277295795%","refine",3,"0.017555804200086317%","aims",3,"0.024497080866900642%","elements",2,"0.03871467286101432%","existing",3,"0.01329305873321073%","above-average",1,"0.01141552511415525%"
"","","","received",2,"0.02981514609421586%","","","","","","","neurodegeneration",1,"0.006565126050420168%","most",1,"0.02491280518186348%","roughly",1,"0.03759398496240601%","2050",2,"0.034952045947104105%","5",3,"0.04361271490439411%","recruit",3,"0.05033622397717298%","register",2,"0.03871467286101432%","professor",3,"0.010555203715431708%","manipulate",1,"0.01141552511415525%"
"","","","help",2,"0.02981514609421586%","","","","","","","now",1,"0.006565126050420168%","promising",1,"0.02491280518186348%","100",1,"0.03759398496240601%","general",2,"0.034952045947104105%","n",3,"0.05778848244601669%","diagnosed",3,"0.05568634116630548%","inclusion",2,"0.03236800517888083%","currently",3,"0.023376671758000223%","rodents",1,"0.01141552511415525%"
"","","","common",2,"0.02981514609421586%","","","","","","","want",1,"0.006565126050420168%","targets",1,"0.02491280518186348%","scanned",1,"0.03759398496240601%","greater",2,"0.034581788169742056%","unique",3,"0.026230794110871695%","assigned",3,"0.020749072577091014%","reduced",2,"0.03236800517888083%","alcohol",3,"0.010555203715431708%","opportunity",1,"0.01141552511415525%"
"","","","older",2,"0.02981514609421586%","","","","","","","expand",1,"0.006565126050420168%","since",1,"0.02491280518186348%","from",1,"0.03759398496240601%","likely",2,"0.034581788169742056%","includes",3,"0.0234061034011026%","composed",3,"0.024692288968002806%","results",2,"0.03871467286101432%","policy",3,"0.01603091375098975%","facilitation",1,"0.01141552511415525%"
"","","","moderate",2,"0.02981514609421586%","","","","","","","metabolites",1,"0.006565126050420168%","even",1,"0.02491280518186348%","enriched",1,"0.03759398496240601%","due",2,"0.034581788169742056%","further",3,"0.020116421479558493%","panel",3,"0.027022762784903946%","alpha-synuclein",2,"0.026021337496747336%","brief",3,"0.010555203715431708%","multicenter",1,"0.01141552511415525%"
"","","","45",2,"0.02981514609421586%","","","","","","","latter",1,"0.006565126050420168%","episode",1,"0.02491280518186348%","25",1,"0.03759398496240601%","incidence",2,"0.04593477262287552%","under",3,"0.03566068176196794%","diode",3,"0.03512651650781655%","panel",2,"0.026021337496747336%","strategy",3,"0.01329305873321073%","funded",1,"0.01141552511415525%"
